bin,brand,type,category,issuer,country,
5515800000,MASTERCARD,CREDIT,MasterCard BusinessCard Card,YOMA Bank Limited,Myanmar,
5453719300,MASTERCARD,CREDIT,DEBIT STANDARD,KANBAWZA BANK LIMITED,Myanmar,
5485017400,MASTERCARD,CREDIT,MASTERCARD MIXED,MYANMA APEX BANK LIMITED,Myanmar,
5317566600,MASTERCARD,CREDIT,MASTERCARD MIXED,MYANMA APEX BANK LIMITED,Myanmar,
5456059400,MASTERCARD,CREDIT,MASTERCARD MIXED,MYANMA APEX BANK LIMITED,Myanmar,
5469732600,MASTERCARD,CREDIT,DEBIT STANDARD,MYANMA APEX BANK LIMITED,Myanmar,
5557000000,MASTERCARD,CREDIT,World Elite,Co-Operative Bank Limited,Myanmar,
5128680000,MASTERCARD,CREDIT,World Elite,Myanma Apex Bank Limited,Myanmar,
5585880000,MASTERCARD,CREDIT,MasterCard BusinessCard Card,Myanma Apex Bank Limited,Myanmar,
5444263700,MASTERCARD,CREDIT,MASTERCARD MIXED,CO-OPERATIVE BANK LIMITED,Myanmar,
5154955900,MASTERCARD,CREDIT,MASTERCARD MIXED,CO-OPERATIVE BANK LIMITED,Myanmar,
5155451600,MASTERCARD,CREDIT,MASTERCARD MIXED,CO-OPERATIVE BANK LIMITED,Myanmar,
5578032300,MASTERCARD,CREDIT,DEBIT STANDARD,CO-OPERATIVE BANK LIMITED,Myanmar,
5499601200,MASTERCARD,CREDIT,DEBIT STANDARD,CO-OPERATIVE BANK LIMITED,Myanmar,
5446263800,MASTERCARD,CREDIT,MASTERCARD MIXED,CO-OPERATIVE BANK LIMITED,Myanmar,
5173540000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Ayeyarwady Bank Limited,Myanmar,
5195030000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Kanbawza Bank Limited,Myanmar,
5105860000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Kanbawza Bank Limited,Myanmar,
5286730000,MASTERCARD,DEBIT,Debit MasterCard Unembossed,Myanmar Citizens Bank Limited,Myanmar,
5126240000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Co-Operative Bank Limited,Myanmar,
5246980000,MASTERCARD,DEBIT,Debit MasterCard Unembossed,Kanbawza Bank Limited,Myanmar,
5195020000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Myanmar Citizens Bank Limited,Myanmar,
5142330000,MASTERCARD,DEBIT,Debit Platinum MasterCard,Co-Operative Bank Limited,Myanmar,
5376740000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Myanma Apex Bank Limited,Myanmar,
5286720000,MASTERCARD,DEBIT,Debit MasterCard Unembossed,Myanma Apex Bank Limited,Myanmar,
5242880000,MASTERCARD,DEBIT,Debit MasterCard Unembossed,Co-Operative Bank Limited,Myanmar,
5286750000,MASTERCARD,DEBIT,Debit MasterCard Unembossed,Ayeyarwady Bank Limited,Myanmar,
5246990000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,United Amara Bank Limited,Myanmar,
5162470000,MASTERCARD,CREDIT,Mastercard Standard,Co-Operative Bank Limited,Myanmar,
5162340000,MASTERCARD,CREDIT,Gold MasterCard,Co-Operative Bank Limited,Myanmar,
5437410000,MASTERCARD,Prepaid,Prepaid MasterCard Unembossed,Co-Operative Bank Limited,Myanmar,
5475660000,MASTERCARD,CREDIT,MasterCard Corporate Card,Co-Operative Bank Limite,Myanmar,
5203553000,MASTERCARD,CREDIT,Platinum MasterCard,Myanma Apex Bank Limited,Myanmar,
5203552000,MASTERCARD,CREDIT,World,Myanma Apex Bank Limited,Myanmar,
5203551000,MASTERCARD,CREDIT,Platinum MasterCard,Myanma Apex Bank Limited,Myanmar,
5203550000,MASTERCARD,CREDIT,Mastercard Standard,Myanma Apex Bank Limited,Myanmar,
5162639000,MASTERCARD,CREDIT,World,Co-Operative Bank Limited,Myanmar,
5162630000,MASTERCARD,CREDIT,Platinum MasterCard,Co-Operative Bank Limited,Myanmar,
2228035000,MASTERCARD,DEBIT,MRD-Platinum Debit Mastercard Prepaid General Spend,Myanma Apex Bank Limited,Myanmar,
2228030000,MASTERCARD,Prepaid,Prepaid,Myanma Apex Bank Limited,Myanmar,
5162639,MASTERCARD,CREDIT,WORLD,,Myanmar,
5162638,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162637,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162636,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162635,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162634,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162633,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162632,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162631,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
5162630,MASTERCARD,CREDIT,PLATINUM,,Myanmar,
4550859,VISA,CREDIT,INFINITE,,Myanmar,
4550858,VISA,CREDIT,INFINITE,,Myanmar,
4550857,VISA,CREDIT,PLATINUM,,Myanmar,
4550856,VISA,CREDIT,PLATINUM,,Myanmar,
4550855,VISA,CREDIT,GOLD,,Myanmar,
4550854,VISA,CREDIT,GOLD,,Myanmar,
4550853,VISA,CREDIT,GOLD,,Myanmar,
4550852,VISA,CREDIT,CLASSIC,,Myanmar,
4550851,VISA,CREDIT,CLASSIC,,Myanmar,
4550850,VISA,CREDIT,CLASSIC,,Myanmar,
4216869,VISA,CREDIT,CLASSIC,,Myanmar,
4216868,VISA,CREDIT,CLASSIC,,Myanmar,
4216867,VISA,CREDIT,CLASSIC,,Myanmar,
4216866,VISA,CREDIT,GOLD,,Myanmar,
4216865,VISA,CREDIT,GOLD,,Myanmar,
4216864,VISA,CREDIT,GOLD,,Myanmar,
4216863,VISA,CREDIT,PLATINUM,,Myanmar,
4216862,VISA,CREDIT,PLATINUM,,Myanmar,
4216861,VISA,CREDIT,SIGNATURE,,Myanmar,
4216860,VISA,CREDIT,SIGNATURE,,Myanmar,
455085,VISA,CREDIT,PERSONAL,,Myanmar,
455107,VISA,DEBIT,CLASSIC,,Myanmar,
468785,VISA,DEBIT,PREPAID,CO OPERATIVE BANK. LTD.,Myanmar,
415427,VISA,CREDIT,,,Myanmar,
468955,VISA,DEBIT,PREPAID,MYANMA APEX BANK LTD,Myanmar,
468993,VISA,DEBIT,PREPAID,ASOCIACION LA NACIONAL DE AHORROS Y PRESTAMOS,Myanmar,
519503,MASTERCARD,DEBIT,PREPAID,KANBAWZA BANK LTD.,Myanmar,
519502,MASTERCARD,DEBIT,PREPAID,MYANMAR CITIZENS BANK Limited.,Myanmar,
413536,VISA,DEBIT,PREPAID BUSINESS,ASOCIACION LA NACIONAL DE AHORROS Y PRESTAMOS,Myanmar,
413471,VISA,DEBIT,PREPAID,,Myanmar,
543741,MASTERCARD,DEBIT,PREPAID,COOPERATIVE BANK Limited.,Myanmar,
517354,MASTERCARD,DEBIT,PREPAID,AYEYARWADY BANK Limited.,Myanmar,
439015,VISA,CREDIT,,,Myanmar,
439012,VISA,CREDIT,BUSINESS,,Myanmar,
516247,MASTERCARD,CREDIT,STANDARD,COOPERATIVE BANK Limited.,Myanmar,
516234,MASTERCARD,CREDIT,GOLD,COOPERATIVE BANK Limited.,Myanmar,
516263,MASTERCARD,CREDIT,PLATINUM,COOPERATIVE BANK Limited.,Myanmar,
422501,VISA,DEBIT,PREPAID,,Myanmar,
528288,MASTERCARD,CREDIT,,,Myanmar,
421686,VISA,CREDIT,SIGNATURE,BNP PARIBAS,Myanmar,
528672,MASTERCARD,CREDIT,STANDARD,,Myanmar,
528675,MASTERCARD,CREDIT,STANDARD,,Myanmar,
460287,VISA,DEBIT,PREPAID,,Myanmar,
357108,JCB,DEBIT,STANDARD,CB BANK,Myanmar,
357105,JCB,DEBIT,STANDARD,,Myanmar,
513589,MASTERCARD,CREDIT,STANDARD,,Myanmar,
356507,JCB,CREDIT,GOLD,,Myanmar,
408152,VISA,CREDIT,GOLD,,Myanmar,
408164,VISA,CREDIT,CLASSIC,,Myanmar,
512624,MASTERCARD,DEBIT,PREPAID,COOPERATIVE BANK Limited.,Myanmar,
407999,VISA,DEBIT,CLASSIC,,Myanmar,
431010,VISA,CREDIT,,,Myanmar,
524698,MASTERCARD,DEBIT,STANDARD,KANBAWZA BANK Limited.,Myanmar,
524699,MASTERCARD,DEBIT,PREPAID RELOADABLE,UNITED AMARA BANK Limited.,Myanmar,
510586,MASTERCARD,DEBIT,PREPAID,,Myanmar,
406716,VISA,DEBIT,PREPAID,KANBAWZA BANK LTD,Myanmar,
524288,MASTERCARD,DEBIT,,COOPERATIVE BANK Limited.,Myanmar,
483863,VISA,CREDIT,GOLD,,Myanmar,
483864,VISA,CREDIT,PLATINUM,CO OPERATIVE BANK LTD.,Myanmar,
483887,VISA,CREDIT,CLASSIC,,Myanmar,
523710,MASTERCARD,CREDIT,,,Myanmar,
405518,VISA,CREDIT,,,Myanmar,
405734,VISA,CREDIT,,,Myanmar,
537674,MASTERCARD,DEBIT,PREPAID,MYANMA APEX BANK Limited.,Myanmar,